PREFERRED_NAME,INCHIKEY,SMILES
"3,3,4,4,5,5,6,6,7,7-Decafluorooctyl 2-methylprop-2-enoate",ZLBLHEUUSFNQAN-UHFFFAOYSA-N,C=C(C)C(=O)OCCC(C(C(C(C(C)(F)F)(F)F)(F)F)(F)F)(F)F
(Perfluoro-5-methylhexyl)ethyl 2-methylprop-2-enoate,SAIYGCOTLRCBJP-UHFFFAOYSA-N,C=C(C)C(=O)OCCC(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F
"3,3,4,4,5,5,6,6,7,7,8,8,9,10,10,10-Hexadecafluoro-9-(trifluoromethyl)decyl methacrylate",KTPONRIHDUNNPD-UHFFFAOYSA-N,C=C(C)C(=O)OCCC(C(C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
(Perfluoro-9-methyldecyl)ethyl methacrylate,PVMWMBHAEVDBQR-UHFFFAOYSA-N,C=C(C)C(=O)OCCC(C(C(C(C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
(Perfluoro-11-methyldodecyl)ethyl methacrylate,NZSKSDOUVOVFHC-UHFFFAOYSA-N,C=C(C)C(=O)OCCC(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
((Perfluoro-13-methyltetradecyl)ethyl) methacrylate,WSPGUHLVXPTGNB-UHFFFAOYSA-N,C=C(C)C(=O)OCCC(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
(Perfluoro-15-methylhexadecyl)ethyl methacrylate,BEMICOOQLAQVTK-UHFFFAOYSA-N,C=C(C)C(=O)OCCC(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
"1,H,1H,2H,2H-perfluoroeicosyl methacrylate",OWAQRMVKMUUGIA-UHFFFAOYSA-N,C=C(C)C(=O)OCCC(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
(Perfluorohexadecyl)ethyl 2-methyl-2-propenoate,XLGBPNZHUPJRPB-UHFFFAOYSA-N,C=C(C)C(=O)OCCC(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
"(Perfluorotetradecyl)ethyl 2-methyl-2-propenoate;2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,16-nonacosafluorohexadecyl ester;3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,16- nonacosafluorohexadecyl 2-methylprop-2-enoate",KLVRPMUTIRAYBC-UHFFFAOYSA-N,C=C(C)C(=O)OCCC(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
"(Perfluorododecyl)ethyl methacrylate;2-Propenoic acid, 2-methyl-, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-pentacosafluorotetradecyl ester;3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14- pentacosafluorotetradecyl 2-methylprop-2-enoate",LFEGLDRNIDJMKB-UHFFFAOYSA-N,C=C(C)C(=O)OCCC(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
